bin_left,bin_right,count,conf,acc,bin_mid
7.275202539307754e-05,0.00043414205356246755,14,0.00026892186632614893,0.0,0.0002534470394777726
0.00044808556558624925,0.0010314656096473164,14,0.0006424101893729304,0.0,0.0007397755876167828
0.001061993796958293,0.001865495747274949,14,0.001493438595809297,0.0,0.001463744772116621
0.001953479889002036,0.003565228126610532,14,0.0026093757080057787,0.21428571428571427,0.002759354007806284
0.003579976148147785,0.004980471456041146,14,0.004346576500579591,0.14285714285714285,0.004280223802094465
0.005223287623048497,0.008333140296923102,14,0.006754798937723667,0.0,0.006778213959985799
0.008500589185227307,0.011083849300643727,14,0.009644401682499136,0.0,0.009792219242935517
0.01109449358417704,0.012875303863985778,14,0.011977131435095403,0.07142857142857142,0.01198489872408141
0.012975899791460315,0.015729612024522253,14,0.014324716851799504,0.0,0.014352755907991285
0.016045620043424125,0.020639845228276766,14,0.01780043422910705,0.0,0.018342732635850446
0.02066664186741355,0.026757863314845393,14,0.024121128634630666,0.0,0.02371225259112947
0.026811936230346257,0.02993951945609752,14,0.028257744075297665,0.07142857142857142,0.028375727843221888
0.030526481478511055,0.03615404095915165,14,0.033609531045722826,0.07142857142857142,0.03334026121883135
0.03630140461940982,0.04910152717289443,14,0.0421569234451669,0.0,0.04270146589615212
0.05226977183971572,0.06767811975243258,14,0.060008228018084246,0.0,0.05997394579607415
0.068406843298244,0.08343997737335433,14,0.07719763145640078,0.0,0.07592341033579916
0.0875076647737595,0.1038489226147018,14,0.09344682466386889,0.07142857142857142,0.09567829369423064
0.10505728062071473,0.1286934250231214,14,0.1171223204831616,0.07142857142857142,0.11687535282191806
0.13202772651108866,0.1564681862644874,14,0.14273493408911406,0.07142857142857142,0.14424795638778803
0.1571749874810744,0.1991415518314395,14,0.17364466128057968,0.0,0.17815826965625695
0.1991625306670387,0.22866252381783733,14,0.21036158273077382,0.07142857142857142,0.21391252724243803
0.22964615750916917,0.2726011951751714,14,0.2508872208407968,0.0,0.25112367634217025
0.2730680709549603,0.3006753767455212,14,0.28824703486886255,0.42857142857142855,0.28687172385024073
0.3112236536732637,0.3790880737411178,14,0.34546105412186234,0.14285714285714285,0.34515586370719076
0.3822466539354017,0.4662258758434414,14,0.41063646329908693,0.5714285714285714,0.42423626488942157
0.47725731003067234,0.6648582351398358,14,0.592687274097735,0.6428571428571429,0.571057772585254
0.6736943719012348,0.7730816712793902,14,0.7163619110739168,0.8571428571428571,0.7233880215903126
0.773547197119152,0.8416847289346985,14,0.8158458680389408,0.9285714285714286,0.8076159630269253
0.8450608156885492,0.8929642488993591,14,0.8671515676881726,0.8571428571428571,0.8690125322939541
0.8949867543128065,0.9209090905830871,14,0.9105179077003765,1.0,0.9079479224479468
0.921882391986631,0.935733483797093,14,0.9287260715847744,1.0,0.928807937891862
0.9368045641940369,0.9483594741456409,14,0.9425374028216392,0.9285714285714286,0.9425820191698389
0.9484866498706221,0.9546073305906515,14,0.9510900529044226,1.0,0.9515469902306368
0.9550007606328721,0.9609599027192883,14,0.9582491490264109,1.0,0.9579803316760802
0.9610278112481899,0.9636893333645905,14,0.9620894861569637,1.0,0.9623585723063902
0.9637552401554995,0.9677568548004803,14,0.9658057920565961,1.0,0.9657560474779899
0.9681947086801637,0.9722382874105628,14,0.9702704516734428,0.8571428571428571,0.9702164980453633
0.97229791786974,0.9738758600597931,14,0.9730574450018944,1.0,0.9730868889647666
0.9738916822277657,0.9761037131415531,14,0.9754020984783335,1.0,0.9749976976846594
0.9762441050773325,0.9789282875697295,14,0.9777556148400184,0.9285714285714286,0.977586196323531
0.9789558505879745,0.9814146695253986,14,0.9803033756450474,1.0,0.9801852600566865
0.9816682910388524,0.9837211264163112,14,0.9827375744349757,1.0,0.9826947087275818
0.983809352064771,0.985868758936992,14,0.9848527602052904,1.0,0.9848390555008815
0.9859368563537849,0.9872449205397381,14,0.9867384865927338,0.8571428571428571,0.9865908884467616
0.987275739193183,0.9889765634998752,14,0.9880377774633722,1.0,0.9881261513465291
0.9890159256568348,0.9905496038961894,14,0.989704442417226,0.9285714285714286,0.9897827647765121
0.9907627436190074,0.9925698446302982,14,0.9914201147905789,1.0,0.9916662941246528
0.9926489868612514,0.9939882935914744,14,0.993289907427738,1.0,0.993318640226363
0.9940188401329993,0.9953565322846064,14,0.994693647053553,1.0,0.9946876862088029
0.9953790454666238,0.9982200062445222,14,0.9964164279340356,1.0,0.9967995258555731
