variant,alpha,auc_mean,auc_std,coverage_mean,coverage_std,decided_rate_mean,decided_rate_std,unsure_rate_mean,unsure_rate_std,acc_decided_mean,acc_decided_std
vowels_pack_baseline,0.1,0.9142324263038549,0.09938327351878924,0.9485714285714285,0.07075484009534579,0.547142857142857,0.3825128995001977,0.45285714285714285,0.3825128995001977,0.8648466612752327,0.2643813880694619
vowels_pack_plus_praat,0.1,0.9471620370370368,0.0989411905368449,0.9116666666666666,0.0943560343830207,0.7383333333333333,0.3220936681553358,0.2616666666666666,0.3220936681553358,0.8840909090909091,0.2795011765512555
delta_(praat_minus_baseline),0.1,0.0329296107331819,,-0.036904761904761885,,0.19119047619047624,,-0.19119047619047624,,0.019244247815676463,
