split_id,bin,bin_left,bin_right,n,mean_pred,frac_pos
11,6,0.6000000000000001,0.7000000000000001,0,,
11,7,0.7000000000000001,0.8,0,,
11,8,0.8,0.9,2,0.8907454604783467,1.0
11,9,0.9,1.0,3,0.9624420335539714,1.0
12,0,0.0,0.1,3,0.059890627949297,0.0
12,1,0.1,0.2,1,0.12873955690714917,0.0
12,2,0.2,0.30000000000000004,1,0.2802796270965684,0.0
12,3,0.30000000000000004,0.4,0,,
12,4,0.4,0.5,1,0.4174877615670586,0.0
12,5,0.5,0.6000000000000001,0,,
12,6,0.6000000000000001,0.7000000000000001,1,0.6988934717861621,1.0
12,7,0.7000000000000001,0.8,0,,
12,8,0.8,0.9,0,,
12,9,0.9,1.0,7,0.9587762327477581,1.0
13,0,0.0,0.1,2,0.0032693972785334527,0.0
13,1,0.1,0.2,1,0.11786172704711449,0.0
13,2,0.2,0.30000000000000004,1,0.2186614604804212,0.0
13,3,0.30000000000000004,0.4,0,,
13,4,0.4,0.5,0,,
13,5,0.5,0.6000000000000001,1,0.5159996843084003,1.0
13,6,0.6000000000000001,0.7000000000000001,0,,
13,7,0.7000000000000001,0.8,1,0.7470830595489126,1.0
13,8,0.8,0.9,1,0.8834697342766472,1.0
13,9,0.9,1.0,7,0.9771309859422092,1.0
14,0,0.0,0.1,8,0.010326193432685012,0.0
14,1,0.1,0.2,1,0.17531368690145807,0.0
14,2,0.2,0.30000000000000004,0,,
14,3,0.30000000000000004,0.4,1,0.3052962405877242,1.0
14,4,0.4,0.5,0,,
14,5,0.5,0.6000000000000001,0,,
14,6,0.6000000000000001,0.7000000000000001,0,,
14,7,0.7000000000000001,0.8,0,,
14,8,0.8,0.9,1,0.8806180065943894,1.0
14,9,0.9,1.0,3,0.9861189838451042,1.0
15,0,0.0,0.1,6,0.04715411195518258,0.0
15,1,0.1,0.2,1,0.16287006846775304,0.0
15,2,0.2,0.30000000000000004,0,,
15,3,0.30000000000000004,0.4,0,,
15,4,0.4,0.5,1,0.4767234096677172,1.0
15,5,0.5,0.6000000000000001,0,,
15,6,0.6000000000000001,0.7000000000000001,0,,
15,7,0.7000000000000001,0.8,0,,
15,8,0.8,0.9,1,0.8943981236826656,1.0
15,9,0.9,1.0,5,0.9803983269076417,1.0
16,0,0.0,0.1,4,0.02335680492644883,0.0
16,1,0.1,0.2,2,0.15606601291411393,0.0
16,2,0.2,0.30000000000000004,1,0.2723913939241635,0.0
16,3,0.30000000000000004,0.4,0,,
16,4,0.4,0.5,1,0.47858963716059194,1.0
16,5,0.5,0.6000000000000001,1,0.5845878060955124,1.0
16,6,0.6000000000000001,0.7000000000000001,0,,
16,7,0.7000000000000001,0.8,0,,
16,8,0.8,0.9,0,,
16,9,0.9,1.0,5,0.9814414638341761,1.0
17,0,0.0,0.1,7,0.018574880665452962,0.0
17,1,0.1,0.2,1,0.10803684406052272,0.0
17,2,0.2,0.30000000000000004,0,,
17,3,0.30000000000000004,0.4,0,,
17,4,0.4,0.5,0,,
17,5,0.5,0.6000000000000001,1,0.52168858268906,1.0
17,6,0.6000000000000001,0.7000000000000001,0,,
17,7,0.7000000000000001,0.8,0,,
17,8,0.8,0.9,0,,
17,9,0.9,1.0,5,0.968393979842687,1.0
18,0,0.0,0.1,6,0.024744236270664605,0.0
18,1,0.1,0.2,1,0.1585012048456968,1.0
18,2,0.2,0.30000000000000004,1,0.2628561435971704,0.0
18,3,0.30000000000000004,0.4,0,,
18,4,0.4,0.5,0,,
18,5,0.5,0.6000000000000001,2,0.5726106312946189,1.0
18,6,0.6000000000000001,0.7000000000000001,0,,
18,7,0.7000000000000001,0.8,1,0.7536150292414898,1.0
18,8,0.8,0.9,0,,
18,9,0.9,1.0,3,0.9606821411028136,1.0
19,0,0.0,0.1,6,0.021533213817692128,0.0
19,1,0.1,0.2,1,0.1527466741258604,0.0
19,2,0.2,0.30000000000000004,1,0.20101194530131425,0.0
