variant,alpha,cov_all_mean,cov_all_std,cov_pd_mean,cov_pd_std,cov_ctrl_mean,cov_ctrl_std,n_splits
vowels_pack_baseline,0.1,0.9071428571428573,0.11834095413003268,0.9175873015873016,0.1240186730693918,0.8943730158730158,0.15520044289537457,50
vowels_pack_plus_praat,0.1,0.9,0.1406535586947982,0.9060952380952382,0.15473911853717615,0.8939523809523808,0.1662440567334229,50
delta_(praat_minus_baseline),0.1,-0.0071428571428572285,,-0.011492063492063442,,-0.00042063492063493246,,0
