bin_left,bin_right,count_baseline,acc_baseline,conf_baseline,count_praat,acc_praat,conf_praat,bin_mid
0.0,0.1,239,0.029288702928870293,0.028207812936186037,235,0.03829787234042553,0.02422839890144687,0.05
0.1,0.2,59,0.0847457627118644,0.1491971815170109,47,0.0425531914893617,0.1441629697846507,0.15000000000000002
0.2,0.30000000000000004,22,0.2727272727272727,0.23892063397412636,38,0.13157894736842105,0.24981618138834966,0.25
0.30000000000000004,0.4,13,0.5384615384615384,0.353110037735319,23,0.30434782608695654,0.35617843255481413,0.35000000000000003
0.4,0.5,19,0.9473684210526315,0.45343967132730817,8,0.625,0.4339227491862825,0.45
0.5,0.6000000000000001,12,0.8333333333333334,0.5484221826306116,5,0.4,0.5398905831744752,0.55
0.6000000000000001,0.7000000000000001,17,0.35294117647058826,0.6541918510035017,13,0.8461538461538461,0.657909300947691,0.6500000000000001
0.7000000000000001,0.8,10,0.4,0.7302956228255965,14,0.8571428571428571,0.7538182365742132,0.75
0.8,0.9,17,1.0,0.8676767235834443,24,0.9166666666666666,0.8541938748597294,0.8500000000000001
0.9,1.0,292,0.9623287671232876,0.9650601904256578,293,0.9761092150170648,0.9718660650260039,0.95
